dato1;paske;f_pk;gr_1;gr_2;gr_3;lpy
01.01.2000;0;0;-0.980392156862745;-2.98039215686275;-0.980392156862745;0
01.02.2000;0;0;1;0.0196078431372549;0;0.75
01.03.2000;-0.245098039215686;-0.415686274509804;0.941176470588235;4.29411764705882;0.705882352941177;0
01.04.2000;0.245098039215686;0.415686274509804;-2.94117647058824;-4.33333333333333;-0.725490196078431;0
01.05.2000;0;0;4.33333333333333;5.09803921568627;1.41176470588235;0
01.06.2000;0;0;-3.58823529411765;-3.52941176470588;-1.52941176470588;0
01.07.2000;0;0;-0.96078431372549;-2.90196078431373;0.0196078431372549;0
01.08.2000;0;0;0.96078431372549;1.92156862745098;0;0
01.09.2000;0;0;0.0392156862745098;1.01960784313725;1;0
01.10.2000;0;0;-0.0196078431372549;-2.96078431372549;-1;0
01.11.2000;0;0;-0.0196078431372549;1.94117647058824;0;0
01.12.2000;0;0;-1.98039215686275;-1.98039215686275;-0.0196078431372549;0
01.01.2001;0;0;1.01960784313725;1.01960784313725;0.0196078431372548;0
01.02.2001;0;0;0;0.0196078431372549;0;-0.25
01.03.2001;-0.245098039215686;-0.415686274509804;0.941176470588235;3.29411764705882;1.70588235294118;0
01.04.2001;0.245098039215686;0.415686274509804;-1.94117647058824;-4.33333333333333;-1.72549019607843;0
01.05.2001;0;0;1.33333333333333;2.09803921568627;0.411764705882353;0
01.06.2001;0;0;-1.58823529411765;-0.529411764705882;0.470588235294118;0
01.07.2001;0;0;0.0392156862745098;-2.90196078431373;-0.980392156862745;0
01.08.2001;0;0;-0.0392156862745098;2.92156862745098;0;0
01.09.2001;0;0;-1.96078431372549;-2.98039215686275;0;0
01.10.2001;0;0;1.98039215686275;1.03921568627451;0;0
01.11.2001;0;0;-0.0196078431372549;1.94117647058824;0;0
01.12.2001;0;0;-0.980392156862745;-2.98039215686275;-0.0196078431372549;0
01.01.2002;0;0;0.0196078431372548;2.01960784313725;0.0196078431372548;0
01.02.2002;0;0;0;0.0196078431372549;0;-0.25
01.03.2002;0.504901960784314;0.584313725490196;-3.05882352941176;-4.70588235294118;-1.29411764705882;0
01.04.2002;-0.504901960784314;-0.584313725490196;3.05882352941176;2.66666666666667;1.27450980392157;0
01.05.2002;0;0;-1.66666666666667;-0.901960784313726;-0.588235294117647;0
01.06.2002;0;0;-0.588235294117647;-1.52941176470588;0.470588235294118;0
01.07.2002;0;0;2.03921568627451;1.09803921568627;0.0196078431372549;0
01.08.2002;0;0;-0.0392156862745098;1.92156862745098;1;0
01.09.2002;0;0;-0.96078431372549;-2.98039215686275;-1;0
01.10.2002;0;0;0.980392156862745;2.03921568627451;0;0
01.11.2002;0;0;-0.0196078431372549;0.941176470588235;1;0
01.12.2002;0;0;0.0196078431372549;-2.98039215686275;-1.01960784313725;0
01.01.2003;0;0;0.0196078431372548;2.01960784313725;0.0196078431372548;0
01.02.2003;0;0;0;0.0196078431372549;0;-0.25
01.03.2003;-0.245098039215686;-0.415686274509804;-0.0588235294117647;-1.70588235294118;0.705882352941177;0
01.04.2003;0.245098039215686;0.415686274509804;0.0588235294117647;-0.333333333333333;-0.725490196078431;0
01.05.2003;0;0;1.33333333333333;2.09803921568627;0.411764705882353;0
01.06.2003;0;0;-2.58823529411765;-4.52941176470588;-1.52941176470588;0
01.07.2003;0;0;1.03921568627451;2.09803921568627;0.0196078431372549;0
01.08.2003;0;0;-2.03921568627451;-2.07843137254902;0;0
01.09.2003;0;0;2.03921568627451;0.0196078431372549;0;0
01.10.2003;0;0;-0.0196078431372549;3.03921568627451;0;0
01.11.2003;0;0;-2.01960784313725;-3.05882352941176;0;0
01.12.2003;0;0;2.01960784313725;1.01960784313725;-0.0196078431372549;0
01.01.2004;0;0;0.0196078431372548;1.01960784313725;1.01960784313725;0
01.02.2004;0;0;-2;-2.98039215686275;-1;0.75
01.03.2004;-0.245098039215686;-0.415686274509804;2.94117647058824;2.29411764705882;0.705882352941177;0
01.04.2004;0.245098039215686;0.415686274509804;-0.941176470588235;0.666666666666667;-0.725490196078431;0
01.05.2004;0;0;-3.66666666666667;-4.90196078431373;-1.58823529411765;0
01.06.2004;0;0;2.41176470588235;2.47058823529412;0.470588235294118;0
01.07.2004;0;0;0.0392156862745098;2.09803921568627;1.01960784313725;0
01.08.2004;0;0;-0.0392156862745098;-3.07843137254902;-1;0
01.09.2004;0;0;0.0392156862745098;2.01960784313725;0;0
01.10.2004;0;0;-2.01960784313725;-1.96078431372549;0;0
01.11.2004;0;0;1.98039215686275;-0.0588235294117647;0;0
01.12.2004;0;0;0.0196078431372549;3.01960784313725;-0.0196078431372549;0
01.01.2005;0;0;-0.980392156862745;-2.98039215686275;-0.980392156862745;0
01.02.2005;0;0;0;0.0196078431372549;0;-0.25
01.03.2005;0.754901960784314;0.584313725490196;-1.05882352941176;-0.705882352941177;-1.29411764705882;0
01.04.2005;-0.754901960784314;-0.584313725490196;2.05882352941176;3.66666666666667;2.27450980392157;0
01.05.2005;0;0;-0.666666666666667;-1.90196078431373;-0.588235294117647;0
01.06.2005;0;0;1.41176470588235;3.47058823529412;0.470588235294118;0
01.07.2005;0;0;-1.96078431372549;-1.90196078431373;0.0196078431372549;0
01.08.2005;0;0;1.96078431372549;0.92156862745098;0;0
01.09.2005;0;0;0.0392156862745098;2.01960784313725;0;0
01.10.2005;0;0;-1.01960784313725;-2.96078431372549;0;0
01.11.2005;0;0;0.980392156862745;0.941176470588235;0;0
01.12.2005;0;0;0.0196078431372549;2.01960784313725;0.980392156862745;0
